sequence,kind,name,name_zh_hans,filename,relative_path,image_url,source_page,source,translation_source,content_type,bytes,sha256,status,error
018,pokemon,Bastiodon,护城龙,018-bastiodon.png,assets/pokopia_image_sources/pokemon_portraits/018-bastiodon.png,https://pokopiadex.com/images/pokemon/sprites/bastiodon.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,163017,af9bebcda7d1d5cd780402bcce5ead23395339cef6ed725af09b635a2f4ed85d,ok,
019,pokemon,Beldum,铁哑铃,019-beldum.png,assets/pokopia_image_sources/pokemon_portraits/019-beldum.png,https://pokopiadex.com/images/pokemon/sprites/beldum.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,87292,06e9e275dde347edf1a8ed3a8bedee949499362cce77dba53cf5218727ca5bca,ok,
020,pokemon,Bellossom,美丽花,020-bellossom.png,assets/pokopia_image_sources/pokemon_portraits/020-bellossom.png,https://pokopiadex.com/images/pokemon/sprites/bellossom.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,137884,5e47738f97b0b096054a9b8c45e003e9447fa427d382cf40677a5e0def349d17,ok,
021,pokemon,Bellsprout,喇叭芽,021-bellsprout.png,assets/pokopia_image_sources/pokemon_portraits/021-bellsprout.png,https://pokopiadex.com/images/pokemon/sprites/bellsprout.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,78180,c12286532e73dd4cab5756b844722d661fc80c0f87f66f4c35bfd44d368c9fe9,ok,
022,pokemon,Blastoise,水箭龟,022-blastoise.png,assets/pokopia_image_sources/pokemon_portraits/022-blastoise.png,https://pokopiadex.com/images/pokemon/sprites/blastoise.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,161688,fffffbadcf20d81ff47cc60380314e1f4546b2e908ae215123845fddda0420a0,ok,
023,pokemon,Blaziken,火焰鸡,023-blaziken.png,assets/pokopia_image_sources/pokemon_portraits/023-blaziken.png,https://pokopiadex.com/images/pokemon/sprites/blaziken.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,117350,905dfc4fd9bf0a4fb14779c8977b7ba0dc8304dd0c39aab86fd5a17010d9a4d9,ok,
024,pokemon,Blissey,幸福蛋,024-blissey.png,assets/pokopia_image_sources/pokemon_portraits/024-blissey.png,https://pokopiadex.com/images/pokemon/sprites/blissey.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,143212,1eb9d0b01898ca84730101d5b86744ee1fefc6cd646744036d7a28ab157c6d83,ok,
025,pokemon,Bonsly,盆才怪,025-bonsly.png,assets/pokopia_image_sources/pokemon_portraits/025-bonsly.png,https://pokopiadex.com/images/pokemon/sprites/bonsly.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,89985,248fcb1f4c824eafd4e742a69f44a092e469416fce0d0711c852ba061af61ddd,ok,
026,pokemon,Bulbasaur,妙蛙种子,026-bulbasaur.png,assets/pokopia_image_sources/pokemon_portraits/026-bulbasaur.png,https://pokopiadex.com/images/pokemon/sprites/bulbasaur.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,143991,c7cb8e9545e13ab399506fb5fb1f68112be9fff2b68d0ac3ff3b1f531b9c5c38,ok,
027,pokemon,Cacnea,刺球仙人掌,027-cacnea.png,assets/pokopia_image_sources/pokemon_portraits/027-cacnea.png,https://pokopiadex.com/images/pokemon/sprites/cacnea.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,100724,5455e11b9af237aaef19e86820e5f11c9361f5bc49489ec235037c1a8f9f68c0,ok,
028,pokemon,Cacturne,梦歌仙人掌,028-cacturne.png,assets/pokopia_image_sources/pokemon_portraits/028-cacturne.png,https://pokopiadex.com/images/pokemon/sprites/cacturne.png,https://pokopiadex.com/pokedex,pokopiadex_pokedex,official_pokemon_zh_names,image/png,116154,b7650abd4e3859a4f13eba1428aff70a307a8c031763a4225bb1befbf464ee80,ok,
